region_code,name,起点緯度,起点経度,終点緯度,終点経度
1,A,35.10112285,138.8591016,35.10166247,138.8591959
2,B,35.10053387,138.8589787,35.10112285,138.8591016
3,C,35.09990676,138.8588745,35.10053387,138.8589787
4,D,35.09935271,138.858789,35.09990676,138.8588745
5,E,35.09883518,138.8586848,35.09918223,138.8587369
6,F,35.09832374,138.8585397,35.09883518,138.8586848
7,G,35.0979432,138.8583908,35.09826894,138.8584987
8,H,35.09722779,138.8581155,35.0979432,138.8583908
9,I,35.09686551,138.8579704,35.09722779,138.8581155
10,J,35.09637232,138.8577583,35.09686551,138.8579704
11,K,35.10167467,138.8594258,35.10113967,138.8592876
12,L,35.10113967,138.8592876,35.10051865,138.8591759
13,M,35.10051865,138.8591759,35.09988241,138.8590531
14,N,35.09988241,138.8590531,35.09932835,138.8589452
15,O,35.09916396,138.8589266,35.09811064,138.8586252
16,P,35.09811064,138.8586252,35.09788232,138.8585434
17,Q,35.09788232,138.8585434,35.09729172,138.8583052
18,R,35.09729172,138.8583052,35.09633274,138.8579369
